Player,Position,TEAM,GP,MIN,PTS,FG%,3P%,FT%,AST,BLK,STL,REB,TOV,Salary
Patty Mills,PG,SAS,63,1430,735,42.9,38,86.1,112,6,52,99,51,12428571
Patrick Beverley,PG,LAC,48,1299,380,42.8,37.9,65.9,179,25,53,259,64,12345680
Trevor Ariza,SF,SAC,32,791,192,38.8,35.2,77.8,50,7,35,146,28,12195122
Brook Lopez,C,MIL,61,1622,670,42.7,29.6,81,95,149,43,272,63,12093023
Cory Joseph,PG,SAC,64,1538,405,42,35.1,82.8,218,21,46,163,64,12000000
Joe Ingles,SF,UTA,64,1916,624,44.1,39.7,77.4,331,9,57,256,124,11954546
Robert Covington,SF,MIN,48,1411,615,43.5,34.6,79.8,56,45,80,287,73,11301219
Meyers Leonard,C,MIA,49,987,300,52,42.9,65.4,53,15,13,248,35,11286516
Maurice Harkless,SF,LAC,50,1141,275,51.6,37,57.1,48,30,49,200,46,11011234
Spencer Dinwiddie,PG,BKN,64,1994,1318,41.5,30.8,77.8,432,21,40,221,174,10605600
Jeremy Lamb,SG,IND,46,1291,577,45.1,33.5,83.6,96,22,55,200,50,10500000
DeAndre Jordan,C,BKN,56,1234,465,66.6,0,68,105,52,18,561,74,9881598
Markelle Fultz,PG,ORL,64,1813,772,47.3,25.4,72.3,334,10,83,213,131,9745200
John Henson,PF,CLE,29,412,145,50.8,19.4,51.5,43,32,16,114,21,9732396
Matthew Dellavedova,PG,CLE,57,821,177,35.4,23.1,86.5,180,2,20,75,59,9607500
Dante Exum,PG,UTA,11,83,24,43.5,33.3,100,7,2,1,12,10,9600000
Deandre Ayton,C,PHX,30,996,570,54.8,0,76.9,57,51,22,360,71,9562920
Jerami Grant,SF,DEN,64,1676,742,47.1,40,74.4,79,52,44,227,55,9346153
Al-Farouq Aminu,PF,ORL,18,380,78,29.1,25,65.5,21,8,18,87,17,9258000
Tyus Jones,PG,MEM,65,1232,484,45.9,37.9,74.1,285,6,59,103,55,9258000
George Hill,PG,MIL,52,1103,498,53,48,83.1,151,4,42,154,49,9133907
Kyle Anderson,SF,MEM,59,1140,335,49.3,25.8,65.2,132,31,46,257,55,9073050
Taj Gibson,PF,NYK,62,1025,379,58.4,28.6,73.2,52,30,27,267,47,9000000
Lonzo Ball,PG,NOP,56,1817,695,41.2,38.3,56.7,392,30,80,348,172,8719320
Marvin Bagley III,PF,SAC,13,334,185,46.7,18.2,80.6,10,12,6,97,18,8556120
Bogdan Bogdanovic,SG,SAC,53,1510,767,43.3,36.1,72.4,169,14,54,171,89,8529386
Cristiano Felicio,C,CHI,22,386,86,63,0,78.3,16,2,10,102,18,8156500
Kentavious Caldwell-Pope,SG,LAL,63,1604,601,47.2,39.4,77.9,105,13,53,132,55,8089282
Maxi Kleber,PF,DAL,66,1695,604,45.9,37.4,86.3,77,78,20,355,48,8000000
Thomas Bryant,C,WAS,38,901,460,59.9,40.7,73.7,71,33,14,260,48,8000000
Wayne Ellington,SG,NYK,36,558,183,35.1,35,84.6,44,4,13,65,18,8000000
RJ Barrett,PF,NYK,56,1704,803,40.2,32,61.4,143,17,55,279,124,7839960
Jae Crowder,PF,MEM,45,1322,447,36.8,29.3,78.9,125,14,47,277,54,7815533
Luka Doncic,PG,DAL,54,1799,1549,46.1,31.8,75.2,470,10,59,502,227,7683360
Joe Harris,SF,BKN,63,1946,878,47.1,41.2,74.7,130,16,38,272,93,7666667
